# wavelength_um half_bin_width_um noisy_transit_depth sigma_inst
4.2060179710e+00 4.7889598645e-03 5.0260839052e-03 6.8918918259e-05
4.2155852318e+00 4.7775851563e-03 5.0677619874e-03 7.2180140705e-05
4.2251291275e+00 4.7664470039e-03 4.9942331389e-03 7.2724476922e-05
4.2346510887e+00 4.7549651936e-03 5.1564299501e-03 7.1761176514e-05
4.2441492081e+00 4.7434391454e-03 5.0767147914e-03 7.1397327702e-05
4.2536239624e+00 4.7325449996e-03 5.0693210214e-03 7.2422946687e-05
4.2630791664e+00 4.7214291990e-03 5.0125401467e-03 7.3486611655e-05
4.2725100517e+00 4.7100731172e-03 5.1409010775e-03 7.3745068221e-05
4.2819190025e+00 4.6991747804e-03 5.1408680156e-03 7.3195340519e-05
4.2913069725e+00 4.6885781921e-03 5.0533171743e-03 7.3029310443e-05
4.3006730080e+00 4.6776081435e-03 5.1400680095e-03 7.4015159043e-05
4.3100171089e+00 4.6665840782e-03 4.9387961626e-03 7.5975447544e-05
4.3193402290e+00 4.6561458148e-03 5.0683282316e-03 7.8462187957e-05
4.3286418915e+00 4.6455548145e-03 4.9214130268e-03 8.1565201981e-05
4.3379220963e+00 4.6346927993e-03 5.0014578737e-03 8.3265309513e-05
4.3471808434e+00 4.6243951656e-03 5.1667760126e-03 8.2367158029e-05
4.3564200401e+00 4.6139932238e-03 4.9444981851e-03 8.0817088019e-05
4.3656368256e+00 4.6033961698e-03 4.8989439383e-03 7.9464312876e-05
4.3748331070e+00 4.5931600034e-03 4.8318170011e-03 7.9268567788e-05
4.3840088844e+00 4.5830151066e-03 4.8100249842e-03 8.0044432252e-05
4.3931651115e+00 4.5726480894e-03 4.9865921028e-03 8.1333710114e-05
4.4022998810e+00 4.5625651255e-03 4.8541729338e-03 8.2724400272e-05
4.4114151001e+00 4.5526460744e-03 4.7747059725e-03 8.3992868895e-05
4.4205098152e+00 4.5424140990e-03 4.8074428923e-03 8.6263091362e-05
4.4295849800e+00 4.5325900428e-03 4.7740167938e-03 9.0593450295e-05
4.4386410713e+00 4.5227161609e-03 4.8696030863e-03 9.6079362265e-05
4.4476761818e+00 4.5127468184e-03 5.0707920454e-03 9.7088239272e-05
4.4566922188e+00 4.5031919144e-03 4.8627429642e-03 9.5636933111e-05
4.4656891823e+00 4.4933650643e-03 4.6658972278e-03 9.4527422334e-05
4.4746651649e+00 4.4835461304e-03 4.5609590597e-03 9.6734489489e-05
4.4836230278e+00 4.4742161408e-03 4.7161439434e-03 9.8790442280e-05
4.4925618172e+00 4.4644991867e-03 4.8037571833e-03 9.9796867289e-05
4.5014810562e+00 4.4549489394e-03 4.6932008117e-03 9.9872078863e-05
4.5103821754e+00 4.4456189498e-03 4.8771211877e-03 1.0216500232e-04
4.5192627907e+00 4.4360239990e-03 4.6718409285e-03 1.0400199972e-04
4.5281257629e+00 4.4269808568e-03 4.6992138959e-03 1.0426030349e-04
4.5369710922e+00 4.4174999930e-03 4.7689247876e-03 1.0238410323e-04
4.5457959175e+00 4.4081211090e-03 4.9371970817e-03 1.0277979891e-04
4.5546040535e+00 4.3991371058e-03 4.9239909276e-03 1.0399369785e-04
4.5633931160e+00 4.3898681179e-03 4.7897212207e-03 1.0512200242e-04
4.5721631050e+00 4.3809879571e-03 4.6580480412e-03 1.0501920042e-04
4.5809168816e+00 4.3718381785e-03 4.8700408079e-03 1.0481299978e-04
4.5896511078e+00 4.3627847917e-03 4.7197588719e-03 1.0301479779e-04
4.5983681679e+00 4.3540159240e-03 4.5547708869e-03 9.7782096418e-05
4.6070671082e+00 4.3450528756e-03 4.8925420269e-03 9.7959418781e-05
4.6157479286e+00 4.3363990262e-03 4.7571938485e-03 1.0073679732e-04
4.6244120598e+00 4.3274532072e-03 4.5861541294e-03 1.0436570301e-04
4.6330580711e+00 4.3187909760e-03 4.8023099080e-03 1.0310920334e-04
4.6416869164e+00 4.3101059273e-03 4.7941948287e-03 9.9954319012e-05
